#,Song,Artist,Popularity,BPM,Genres,Parent Genres,Album,Album Date,Time,Dance,Energy,Acoustic,Instrumental,Happy,Speech,Live,Loud (Db),Key,Time Signature,Added At,Spotify Track Id,Album Label,Camelot,ISRC
40,"Liar (It Takes One To Know One)","Taking Back Sunday",26,94,"emo, pop punk, screamo, post-hardcore, punk","Rock, Pop, Metal","Louder Now",2006-04-25,03:11,44,95,0,0,60,10,20,-5,G#/A♭ minor,4,2025-10-06,6wUWLdLTYKPJEe9LFK5Tvn,"Craft Recordings",1A,USWB10601461
41,"Beautifully Unconventional","Wolf Alice",36,104,"indie","Pop, Rock","Visions Of A Life",2017-09-29,02:13,75,84,2,0,66,0,20,-4,E,4,2025-10-06,1P6JClfDRfWlDTYUhphWYQ,"Dirty Hit/RCA Records",12B,GBK3W1700560
42,"Black Cat","Mayday Parade",47,79,"pop punk, emo","Rock, Pop","A Lesson In Romantics",2007-07-10,03:23,27,92,0,0,64,0,50,-3,D,4,2025-10-06,6NP5mne71yGCzjQWr6jQ7S,"Fearless Records",10B,US5260709902
43,"Come As You Are","Nirvana",80,120,"grunge, rock","Rock","Nevermind (Remastered)",1991-09-26,03:38,50,82,0,0,54,0,0,-6,E minor,4,2025-10-06,4P5KoWXOxwuobLmHXLMobV,"Geffen",9A,USGF19942503
44,"Mojo Pin","Jeff Buckley",62,142,"","","Grace",1994-00-00,05:42,30,42,10,0,5,0,0,-8,G,4,2025-10-06,3wBy12K7BHKHJspUwJw8fq,"Columbia/Legacy",9B,USSM19400911
45,"Grace","Jeff Buckley",67,128,"","","Grace",1994-00-00,05:22,55,87,3,0,19,0,20,-4,B minor,4,2025-10-06,64SIlhd3BaHCCMSfajXG7l,"Columbia/Legacy",10A,USSM19400912
46,"Last Goodbye","Jeff Buckley",68,87,"","","Grace",1994-00-00,04:35,54,83,3,0,52,0,20,-5,D,4,2025-10-06,0y5CnV2idm2KkQEudDjfDT,"Columbia/Legacy",10B,USSM19400913
47,"Lilac Wine","Jeff Buckley",63,181,"","","Grace",1994-00-00,04:32,26,8,83,0,7,0,0,-16,G,3,2025-10-06,1StXVL5gClph4z4XzanYko,"Columbia/Legacy",9B,USSM19400914
48,"So Real","Jeff Buckley",68,77,"","","Grace",1994-00-00,04:43,47,63,1,0,33,0,0,-5,E minor,4,2025-10-06,6PBzdsMi6YNdYAevzozBRi,"Columbia/Legacy",9A,USSM19400143
49,"Hallelujah","Jeff Buckley",70,97,"","","Grace",1994-00-00,06:53,32,14,93,0,8,0,10,-10,C,3,2025-10-06,3pRaLNL3b8x5uBOcsgvdqM,"Columbia/Legacy",8B,USSM19400915
50,"Lover, You Should've Come Over","Jeff Buckley",84,119,"","","Grace",1994-00-00,06:44,39,60,36,0,15,0,10,-6,D,3,2025-10-06,6Jv7kjGkhY2fT4yuBF3aTz,"Columbia/Legacy",10B,USSM19400916
51,"Corpus Christi Carol","Jeff Buckley",53,106,"","","Grace",1994-00-00,02:56,32,10,99,0,12,0,0,-16,C,4,2025-10-06,4apuooN0LA5LZXeHog3nvb,"Columbia/Legacy",8B,USSM19400917
52,"Eternal Life","Jeff Buckley",58,96,"","","Grace",1994-00-00,04:52,51,98,0,0,18,0,10,-3,A,4,2025-10-06,7bf4nfz09yp6w7L7r9hQ1V,"Columbia/Legacy",11B,USSM19400918
53,"Dream Brother","Jeff Buckley",59,95,"","","Grace",1994-00-00,05:26,53,52,11,0,16,0,10,-9,C,4,2025-10-06,6q3wafztoGDT3nQYWVfyuO,"Columbia/Legacy",8B,USSM19400919
54,"Forget Her","Jeff Buckley",73,183,"","","Grace",1994-00-00,05:12,44,56,10,0,28,0,20,-5,A minor,3,2025-10-06,6UuVONmxXwTKN1ISepuAoQ,"Columbia/Legacy",8A,USSM10407311
55,"Bullet With Butterfly Wings - Remastered 2012","The Smashing Pumpkins",59,122,"alternative rock, rock","Rock","Mellon Collie And The Infinite Sadness (Remastered)",1995-12-12,04:18,40,72,0,84,48,0,0,-9,A#/B♭ minor,4,2025-10-06,4qMzPtAZe0C9KWpWIzvZAP,"Virgin Records",3A,USVI21200897
56,"DANCE WITH ME","blink-182",45,200,"pop punk, punk, rock, skate punk, emo","Rock, Pop","ONE MORE TIME...",2023-10-27,03:08,36,91,0,0,73,10,20,-2,G,4,2025-10-06,5RkopTOlz5MHulrlykFURX,"Columbia",9B,USSM12306524
57,"Awakening","Yellowcard",54,193,"pop punk, punk, emo","Rock, Pop","Southern Air",2012-08-14,04:23,30,98,0,0,31,10,40,-3,C♯/D♭ minor,4,2025-10-06,0Orpf6gjHFDkrntyjLR4SF,"Hopeless Records",12A,USHR21270001
58,"Pain","Jimmy Eat World",48,168,"emo, pop punk","Rock, Pop","Futures",2004-10-19,03:01,39,97,2,0,20,10,50,-3,C minor,4,2025-10-06,0SUClY63fA1awioMFtMYeE,"Interscope",5A,USDW10400944
59,"Bling (Confession Of A King)","The Killers",47,113,"alternative rock","Rock","Sam's Town",2006-09-27,04:08,53,93,0,26,38,0,10,-4,B minor,4,2025-10-06,1Rr17slUHwVRkDz4A2TUcM,"Island Records",10A,USUM70605408
60,"Ready to Go (Get Me Out of My Mind)","Panic! At The Disco",52,135,"emo","Rock","Vices & Virtues",2011-03-18,03:37,57,92,0,0,32,0,30,-5,C,4,2025-10-06,7m4HUtdXRUHEitLIqbVWxf,"Decaydance/Fueled By Ramen",8B,USAT21100125
61,"Stickers of Brian","Hot Mulligan",51,75,"midwest emo, pop punk, emo","Rock, Pop","Stickers of Brian",2024-03-21,02:41,56,97,0,0,81,10,40,-3,B minor,4,2025-10-06,7M0A43aUdp5VDqUq39SJhV,"Wax Bodega",10A,QZNWP2471501
62,"Six Feet Under The Stars","All Time Low",57,131,"pop punk, emo, punk","Rock, Pop","So Wrong, It's Right",2007-09-25,03:36,49,97,1,0,34,0,10,-3,D#/E♭,4,2025-10-06,3MfRql0HwuxEZzGpoIC832,"Hopeless Records",5B,USHR20747014
63,"Happiness 4 Dummies","Royal & the Serpent",27,155,"","","Happiness is an Inside Job",2022-10-28,02:39,44,90,0,0,43,0,10,-5,D,4,2025-10-06,1UghpgpVwIvYos5UhOlJRT,"Atlantic Records",10B,USAT22214171
64,"Playing God","Paramore",62,138,"pop punk, emo","Rock, Pop","Brand New Eyes",2009-09-25,03:02,58,96,0,0,63,0,0,-4,C♯/D♭ minor,4,2025-10-06,7hInOqJnlEayXao08yVYAn,"Fueled By Ramen",12A,USAT20902320
65,"The Kill","Thirty Seconds To Mars",79,183,"","","A Beautiful Lie",2005-08-16,03:51,18,91,0,0,29,0,50,-4,E minor,3,2025-10-06,0lP4HYLmvowOKdsQ7CVkuq,"Virgin Records",9A,USVI20500136
66,"Face Down","The Red Jumpsuit Apparatus",76,93,"pop punk, emo","Rock, Pop","Don't You Fake It",2006-01-01,03:12,55,93,0,0,46,0,10,-2,G minor,4,2025-10-06,4wzjNqjKAKDU82e8uMhzmr,"Virgin Records",6A,USVI20600108
67,"Holiday / Boulevard of Broken Dreams","Green Day",72,167,"punk, pop punk","Pop, Rock","American Idiot",2004-09-21,08:13,29,83,0,0,45,0,30,-3,G#/A♭,4,2025-10-06,0MsrWnxQZxPAcov7c74sSo,"Reprise",4B,USRE10401218
68,"ballad of a homeschooled girl","Olivia Rodrigo",70,120,"","","GUTS",2023-09-08,03:23,35,88,6,0,41,0,30,-3,C♯/D♭,4,2025-10-06,5sp71CUt0jXRNqHblPGp7b,"Olivia Rodrigo PS",3B,USUG12304096
69,"Violet","Shoobies",34,106,"","","Claude Monet",2017-05-22,03:38,62,65,5,0,60,0,20,-6,E minor,4,2025-10-06,7MkuS8AFINi35mvvvpf63M,"Shoobies",9A,QZK6Q2230575
70,"Take Me Out","Franz Ferdinand",84,105,"indie rock","Rock","Franz Ferdinand",2004-02-16,03:57,28,66,0,0,53,0,10,-9,E minor,4,2025-10-06,20I8RduZC2PWMWTDCZuuAN,"Domino Recording Co",9A,GBCEL0300192
71,"Holding on to You","Twenty One Pilots",67,90,"","","Vessel",2013-01-08,04:23,61,78,24,0,81,0,0,-4,B,4,2025-10-06,3C3cr2JQwXIhqAHqOardVO,"Fueled By Ramen",1B,USAT21202943
72,"Nights","Neon Trees",44,170,"","","I Can Feel You Forgetting Me",2020-07-24,03:35,50,86,1,0,60,0,20,-4,C minor,4,2025-10-06,2HtSqfsa6fCxCFBGKBWILM,"Thrill Forever, LLC",5A,ZZOPM2002424
73,"Gun.","My Chemical Romance",49,162,"emo, pop punk","Rock, Pop","Number Two",2012-11-23,03:39,52,98,0,2,88,10,0,-3,B,4,2025-10-06,1RhrPW9KMZlxqGxO9jIHzM,"Reprise",1B,USRE11200398
74,"Amelia","Tonight Alive",33,180,"pop punk","Pop, Rock","What Are You So Scared Of?",2011-10-17,03:38,30,72,0,0,9,0,10,-6,F#/G♭,3,2025-10-06,6CAgkyKJqbdBgkuggr6XGB,"Sony Music Entertainment",2B,AUBM01100298
